gameName,developer,gameType,gameDescription
['Phasmophobia'],Kinetic Games,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'Supernatural', 'VR', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Detective', 'Demons', 'Early Access', 'Thriller', '3D', 'Indie', 'Action', 'Tactical', 'Lovecraftian']",Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can.
['Ruined King: A League of Legends Story™'],Airship Syndicate,"['RPG', 'Turn-Based Combat', 'Singleplayer', 'Fantasy', 'Indie', 'Isometric', 'JRPG', 'Story Rich', 'Adventure', 'Psychological Horror', 'Great Soundtrack']","Rise Against Ruin - Unite a party of League of Legends Champions, explore Bilgewater and set sail for the Shadow Isles to uncover the secrets of the deadly Black Mist in this immersive turn-based RPG."
['Gunfire Reborn'],Duoyi Games,"['FPS', 'Co-op', 'Roguelite', 'Online Co-Op', 'Roguelike', 'Multiplayer', 'Indie', 'Action', 'Adventure', 'RPG', 'Early Access', 'Looter Shooter', 'Shooter', 'Action Roguelike', 'First-Person', 'Dungeon Crawler', 'Replay Value', 'Singleplayer', 'Fast-Paced', 'Souls-like']","Gunfire Reborn is an adventure level-based game featured with FPS, Roguelite and RPG. Players can control heros with various abilities to experience diverse Build gameplay, use randomly dropped weapons to explore random levels. This game can be played by single player, or Co-op up to four."
['Battlefield™ 2042'],DICE,"['Shooter', 'Action', 'Multiplayer', 'FPS', 'First-Person', 'Military', 'War', 'Futuristic', 'PvP', 'Team-Based', 'Vehicular Combat', 'Combat', 'Modern', 'Destruction', 'Physics', 'Cinematic', 'Adventure', 'Hero Shooter', 'Casual', 'Singleplayer']","Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise. In a near-future world transformed by disorder, adapt and overcome dynamically-changing battlegrounds with the help of your squad and a cutting-edge arsenal."
['Age of Empires IV'],Relic Entertainment,"['Strategy', 'RTS', 'Multiplayer', 'Medieval', 'Singleplayer', 'Historical', 'War', 'Action RTS', 'Resource Management', 'PvP', 'PvE', '3D', 'Base Building', 'Isometric', 'Co-op', 'City Builder', 'Sexual Content', 'Open World', 'Online Co-Op']","One of the most beloved real-time strategy games returns to glory with Age of Empires IV, putting you at the center of epic historical battles that shaped the world."
['Insurgency: Sandstorm'],New World Interactive,"['FPS', 'Realistic', 'Shooter', 'Military', 'Multiplayer', 'Action', 'Tactical', 'First-Person', 'Online Co-Op', 'War', 'Co-op', 'Violent', 'Gore', 'Atmospheric', 'Difficult', 'Simulation', 'Open World', 'Massively Multiplayer', 'Indie', 'Choices Matter']","Insurgency: Sandstorm is a team-based, tactical FPS based on lethal close quarters combat and objective-oriented multiplayer gameplay. Experience the intensity of modern combat where skill is rewarded, and teamwork wins the fight."
[' '], ,"['Action', 'Adventure', 'Free to Play', 'FPS', 'MMORPG', 'Looter Shooter', 'Multiplayer', 'Shooter', 'Singleplayer']", 
[' '], ,[], 
['Atelier Ryza: Ever Darkness & the Secret Hideout'],"KOEI TECMO GAMES CO., LTD.","['RPG', 'Anime', 'JRPG', 'Female Protagonist', 'Cute', 'Sexual Content', 'Singleplayer', 'Crafting', 'Great Soundtrack', 'Adventure', 'Fantasy', 'Turn-Based', 'Open World', 'Nudity', 'Turn-Based Combat', 'Action', 'Story Rich']","The concept of this title, the latest in the series to depict a new ""Atelier"" world, is ""True-to-life youths that develop together, even if just a little bit""."
['Need for Speed™ Heat'],Ghost Games,"['Racing', 'Open World', 'Multiplayer', 'Driving', 'Action', 'Adventure', 'Singleplayer', 'Co-op', 'Combat Racing', 'Atmospheric', 'Third Person', 'Arcade', 'Sports', 'First-Person', 'Online Co-Op', 'PvP', 'Split Screen', 'Character Customization', 'Destruction', 'Sexual Content']","Hustle by day and risk it all at night in Need for Speed™ Heat Deluxe Edition, a white-knuckle street racer, where the lines of the law fade as the sun starts to set."
[' '], ,[], 
[' '], ,[], 
['DEATHLOOP'],Arkane Studios,"['FPS', 'Action', 'First-Person', 'Immersive Sim', 'Shooter', 'Stealth', 'Assassin', 'Multiplayer', 'Singleplayer', 'Roguelite', 'Adventure', 'Time Manipulation', 'Story Rich', 'PvP', 'Tactical', 'Violent', 'Sexual Content', 'Gore', 'Parkour', 'Action-Adventure']","DEATHLOOP is a next-gen FPS from Arkane Lyon, the award-winning studio behind Dishonored. In DEATHLOOP, two rival assassins are trapped in a mysterious timeloop on the island of Blackreef, doomed to repeat the same day for eternity."
[' '], ,[], 
['Monster Hunter: World'],"CAPCOM Co., Ltd.","['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Third Person', 'Character Customization', 'Adventure', 'Fantasy', 'Singleplayer', 'Difficult', 'Action RPG', 'Exploration', 'Great Soundtrack', 'Replay Value', 'Atmospheric', 'Hack and Slash', 'JRPG', 'Souls-like', 'MMORPG']","Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement."
['ELDEN RING'],FromSoftware Inc.,"['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Action', 'Fantasy', 'Online Co-Op', 'Singleplayer', 'Multiplayer', 'Relaxing', 'Co-op', 'PvP', 'Violent', '3D', 'Great Soundtrack', 'Atmospheric', 'Walking Simulator', 'Anime']","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between."
['ELDEN RING'],FromSoftware Inc.,"['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Action', 'Fantasy', 'Online Co-Op', 'Singleplayer', 'Multiplayer', 'Relaxing', 'Co-op', 'PvP', 'Violent', '3D', 'Great Soundtrack', 'Atmospheric', 'Walking Simulator', 'Anime']","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between."
"[""Don't Starve Together""]",Klei Entertainment,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Open World', 'Adventure', 'Crafting', 'Online Co-Op', 'Sandbox', 'Difficult', 'Indie', '2D', 'Funny', 'Atmospheric', 'Survival Horror', 'Strategy', 'Singleplayer', 'Horror', 'Action', 'Simulation']","Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve."
['Tales of Arise'],BANDAI NAMCO Studios Inc.,"['Anime', 'JRPG', 'RPG', 'Action', 'Action RPG', 'Fantasy', 'Singleplayer', 'Third Person', 'Story Rich', 'Open World', 'Magic', 'Combat', 'Adventure', 'Controller', 'Female Protagonist', 'Character Customization', 'Romance', 'Sexual Content', 'Hack and Slash', 'Multiplayer']","300 years of tyranny. A mysterious mask. Lost pain and memories. Wield the Blazing Sword and join a mysterious, untouchable girl to fight your oppressors. Experience a tale of liberation, featuring characters with next-gen graphical expressiveness!"
['FIFA 22'],EA Canada,"['Soccer', 'Sports', 'Competitive', 'Simulation', 'Football', 'Multiplayer', 'Realistic', 'Singleplayer', 'Online Co-Op', 'Local Multiplayer', 'Local Co-Op', 'Controller', 'PvP', 'Family Friendly', 'eSports', 'Immersive Sim', 'Physics', 'Team-Based', 'Co-op', 'Cinematic']","Play FIFA 22, Get a Next Generation Player Item: receive an untradeable Next Generation Player Item in FIFA Ultimate Team starting December 15 when you play FIFA 22 by January 14, 2022*."
